Rk,Name,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
40,Ken Brett*,28,CHW,AL,6,4,.600,5.01,13,13,0,2,0,0,82.2,101,47,46,10,15,0,39,1,1,2,352,83,3.95,1.403,11.0,1.1,1.6,4.2,2.60,brettke01
41,Ken Brett*,28,CAL,AL,7,10,.412,4.25,21,21,0,5,0,0,142.0,157,73,67,15,38,0,41,3,1,4,598,92,4.40,1.373,10.0,1.0,2.4,2.6,1.08,brettke01
42,Nelson Briles,33,TOT,AL,6,4,.600,4.33,30,15,4,2,1,2,112.1,119,61,54,15,30,1,59,6,0,5,473,95,4.39,1.326,9.5,1.2,2.4,4.7,1.97,brilene01
43,Nelson Briles,33,TEX,AL,6,4,.600,4.24,28,15,3,2,1,1,108.1,114,58,51,13,30,1,57,6,0,4,456,97,4.24,1.329,9.5,1.1,2.5,4.7,1.90,brilene01
44,Nelson Briles,33,BAL,AL,0,0,,6.75,2,0,1,0,0,1,4.0,5,3,3,2,0,0,2,0,0,1,17,62,8.24,1.250,11.3,4.5,0.0,4.5,,brilene01
45,Pete Broberg,27,CHC,NL,1,2,.333,4.75,22,0,2,0,0,0,36.0,34,22,19,8,18,4,20,0,0,0,158,93,6.02,1.444,8.5,2.0,4.5,5.0,1.11,brobepe01
46,Jackie Brown,34,MON,NL,9,12,.429,4.51,42,25,3,6,2,0,185.2,189,99,93,15,71,5,89,4,0,2,804,84,4.04,1.400,9.2,0.7,3.4,4.3,1.25,brownja01
47,Tom Bruno,24,TOR,AL,0,1,.000,7.85,12,0,4,0,0,0,18.1,30,18,16,4,13,1,9,1,0,3,100,54,6.88,2.345,14.7,2.0,6.4,4.4,0.69,brunoto01
48,Warren Brusstar,25,PHI,NL,7,2,.778,2.65,46,0,8,0,0,3,71.1,64,26,21,7,24,3,46,1,0,3,285,153,3.78,1.234,8.1,0.9,3.0,5.8,1.92,brusswa01
49,Tom Burgmeier*,33,MIN,AL,6,4,.600,5.09,61,0,20,0,0,7,97.1,113,56,55,15,33,0,35,2,2,3,423,79,5.10,1.500,10.4,1.4,3.1,3.2,1.06,burgmto01
